date,o,h,l,c,resistencia,soporte
2020-01-10 15:37:00,1.111075,1.1110799999999998,1.1109200000000001,1.11101,1.111375,1.108625
2020-01-10 15:38:00,1.11114,1.11127,1.111005,1.11127,1.111375,1.108625
2020-01-10 15:39:00,1.11145,1.1116350000000002,1.111265,1.11155,1.1116350000000002,1.108625
2020-01-10 15:40:00,1.111555,1.1115650000000001,1.111275,1.11132,1.1116350000000002,1.108625
2020-01-10 15:41:00,1.11132,1.11132,1.111165,1.1112449999999998,1.1116350000000002,1.108625
2020-01-10 15:42:00,1.1112549999999999,1.111265,1.111145,1.111145,1.1116350000000002,1.108625
2020-01-10 15:43:00,1.111195,1.1112449999999998,1.111115,1.1112,1.1116350000000002,1.108625
2020-01-10 15:44:00,1.111275,1.1113650000000002,1.111175,1.11124,1.1116350000000002,1.108625
2020-01-10 15:45:00,1.11138,1.1115149999999998,1.11124,1.1114350000000002,1.1116350000000002,1.108625
2020-01-10 15:46:00,1.1114600000000001,1.111475,1.111325,1.111335,1.1116350000000002,1.108625
2020-01-10 15:47:00,1.111355,1.111375,1.1112600000000001,1.1113149999999998,1.1116350000000002,1.108625
2020-01-10 15:48:00,1.1113499999999998,1.1113849999999998,1.1112600000000001,1.1113650000000002,1.1116350000000002,1.108625
2020-01-10 15:49:00,1.11144,1.1115149999999998,1.111335,1.1114899999999999,1.1116350000000002,1.108625
2020-01-10 15:50:00,1.111635,1.11178,1.11145,1.11174,1.11178,1.108625
2020-01-10 15:51:00,1.11175,1.1117599999999999,1.111445,1.111445,1.11178,1.108625
2020-01-10 15:52:00,1.1115,1.11155,1.11144,1.11145,1.11178,1.108625
2020-01-10 15:53:00,1.11156,1.1116700000000002,1.1114199999999999,1.111625,1.11178,1.108625
2020-01-10 15:54:00,1.111625,1.111625,1.11147,1.111555,1.11178,1.108625
2020-01-10 15:55:00,1.111555,1.111555,1.111395,1.1115,1.11178,1.108625
2020-01-10 15:56:00,1.1114950000000001,1.1114950000000001,1.1113149999999998,1.111345,1.11178,1.108625
2020-01-10 15:57:00,1.11137,1.111385,1.1112950000000001,1.11132,1.11178,1.108625
2020-01-10 15:58:00,1.111405,1.11148,1.1113,1.11131,1.11178,1.108625
2020-01-10 15:59:00,1.11141,1.11151,1.11124,1.111285,1.11178,1.108625
2020-01-10 16:00:00,1.111355,1.1114350000000002,1.111215,1.11124,1.11178,1.108625
2020-01-10 16:01:00,1.111265,1.111275,1.111135,1.111215,1.11178,1.108625
2020-01-10 16:02:00,1.1112549999999999,1.111285,1.111125,1.11124,1.11178,1.108625
2020-01-10 16:03:00,1.1112549999999999,1.111285,1.111145,1.11128,1.11178,1.108625
2020-01-10 16:04:00,1.111315,1.1113499999999998,1.111215,1.1113300000000002,1.11178,1.108625
2020-01-10 16:05:00,1.11137,1.1114,1.11124,1.111285,1.11178,1.108625
2020-01-10 16:06:00,1.1112950000000001,1.11131,1.11111,1.11124,1.11178,1.108625
2020-01-10 16:07:00,1.11127,1.1112950000000001,1.11114,1.111145,1.11178,1.108625
2020-01-10 16:08:00,1.11123,1.111305,1.1111399999999998,1.111275,1.11178,1.108625
2020-01-10 16:09:00,1.111285,1.1112950000000001,1.111185,1.11128,1.11178,1.108625
2020-01-10 16:10:00,1.111285,1.1112950000000001,1.111235,1.1112449999999998,1.11178,1.108625
2020-01-10 16:11:00,1.1112449999999998,1.1112449999999998,1.111175,1.1112199999999999,1.11178,1.108625
2020-01-10 16:12:00,1.1112199999999999,1.1112250000000001,1.11111,1.11117,1.11178,1.108625
2020-01-10 16:13:00,1.1112,1.111225,1.111135,1.11121,1.11178,1.108625
2020-01-10 16:14:00,1.11127,1.111345,1.111175,1.111335,1.11178,1.108625
2020-01-10 16:15:00,1.111395,1.11145,1.1113,1.111415,1.11178,1.108625
2020-01-10 16:16:00,1.11148,1.11155,1.11138,1.11155,1.11178,1.108625
2020-01-10 16:17:00,1.111605,1.111665,1.111545,1.11165,1.11178,1.108625
2020-01-10 16:18:00,1.11167,1.11168,1.11161,1.11161,1.11178,1.108625
2020-01-10 16:19:00,1.11165,1.1117,1.11152,1.11165,1.11178,1.108625
2020-01-10 16:20:00,1.111705,1.11175,1.111615,1.111725,1.11178,1.108625
2020-01-10 16:21:00,1.1117650000000001,1.1118000000000001,1.111675,1.11172,1.1118000000000001,1.108625
2020-01-10 16:22:00,1.1117750000000002,1.1118350000000001,1.1117050000000002,1.111755,1.1118350000000001,1.108625
2020-01-10 16:23:00,1.1117599999999999,1.1117650000000001,1.11168,1.111715,1.1118350000000001,1.108625
2020-01-10 16:24:00,1.11177,1.11182,1.111715,1.111755,1.1118350000000001,1.108625
2020-01-10 16:25:00,1.1117499999999998,1.1117499999999998,1.11167,1.11171,1.1118350000000001,1.108625
2020-01-10 16:26:00,1.111715,1.11172,1.11162,1.111685,1.1118350000000001,1.108625
2020-01-10 16:27:00,1.111685,1.111685,1.11154,1.1115650000000001,1.1118350000000001,1.108625
2020-01-10 16:28:00,1.111575,1.1115849999999998,1.1115,1.111575,1.1118350000000001,1.108625
2020-01-10 16:29:00,1.11158,1.1115849999999998,1.1115050000000002,1.11155,1.1118350000000001,1.108625
2020-01-10 16:30:00,1.1116100000000002,1.111675,1.11154,1.11165,1.1118350000000001,1.108625
2020-01-10 16:31:00,1.11169,1.111725,1.111575,1.111685,1.1118350000000001,1.108625
2020-01-10 16:32:00,1.111705,1.1117249999999999,1.1116549999999998,1.1117,1.1118350000000001,1.108625
2020-01-10 16:33:00,1.111815,1.11192,1.111695,1.111895,1.11192,1.108625
2020-01-10 16:34:00,1.111895,1.111895,1.1117750000000002,1.11182,1.11192,1.108625
2020-01-10 16:35:00,1.111855,1.11189,1.111805,1.1118649999999999,1.11192,1.108625
2020-01-10 16:36:00,1.11187,1.111885,1.11182,1.1118450000000002,1.11192,1.108625
2020-01-10 16:37:00,1.111955,1.11206,1.11181,1.1118999999999999,1.11206,1.108625
2020-01-10 16:38:00,1.1119050000000001,1.11192,1.111805,1.11182,1.11206,1.108625
2020-01-10 16:39:00,1.111825,1.11184,1.11145,1.111465,1.11206,1.108625
2020-01-10 16:40:00,1.111485,1.1115050000000002,1.111375,1.111395,1.11206,1.108625
2020-01-10 16:41:00,1.11147,1.11155,1.11138,1.11139,1.11206,1.108625
2020-01-10 16:42:00,1.111405,1.1114199999999999,1.11138,1.1114,1.11206,1.108625
2020-01-10 16:43:00,1.1114549999999999,1.1115149999999998,1.11137,1.11151,1.11206,1.108625
2020-01-10 16:44:00,1.11152,1.1115249999999999,1.1114899999999999,1.1115149999999998,1.11206,1.108625
2020-01-10 16:45:00,1.111565,1.111615,1.1115050000000002,1.111605,1.11206,1.108625
2020-01-10 16:46:00,1.11162,1.111625,1.1116000000000001,1.1116000000000001,1.11206,1.108625
2020-01-10 16:47:00,1.11167,1.111755,1.1115849999999998,1.1117,1.11206,1.108625
2020-01-10 16:48:00,1.11172,1.11174,1.1116549999999998,1.1116899999999998,1.11206,1.108735
2020-01-10 16:49:00,1.111695,1.1117,1.1116549999999998,1.111685,1.11206,1.10886
2020-01-10 16:50:00,1.11174,1.11179,1.11166,1.111785,1.11206,1.10906
2020-01-10 16:51:00,1.111805,1.1118350000000001,1.1117499999999998,1.1117750000000002,1.11206,1.109205
2020-01-10 16:52:00,1.11184,1.11189,1.111785,1.11185,1.11206,1.10926
2020-01-10 16:53:00,1.11186,1.1118649999999999,1.1117050000000002,1.111755,1.11206,1.10926
2020-01-10 16:54:00,1.111755,1.1117599999999999,1.111725,1.11175,1.11206,1.10926
2020-01-10 16:55:00,1.111755,1.111755,1.111715,1.11174,1.11206,1.10926
2020-01-10 16:56:00,1.1118299999999999,1.1119249999999998,1.11174,1.111885,1.11206,1.10926
2020-01-10 16:57:00,1.111885,1.111895,1.111755,1.1117650000000001,1.11206,1.10926
2020-01-10 16:58:00,1.11181,1.1118549999999998,1.11177,1.11185,1.11206,1.10926
2020-01-10 16:59:00,1.11186,1.1118649999999999,1.11178,1.1118000000000001,1.11206,1.10926
2020-01-10 17:00:00,1.11191,1.112025,1.11179,1.111985,1.11206,1.10926
2020-01-10 17:01:00,1.11201,1.11202,1.111955,1.11198,1.11206,1.10926
2020-01-10 17:02:00,1.1120100000000002,1.11204,1.11191,1.11197,1.11206,1.10926
2020-01-10 17:03:00,1.112,1.11204,1.111955,1.11201,1.11206,1.10926
2020-01-10 17:04:00,1.1121349999999999,1.1122649999999998,1.11196,1.112255,1.1122649999999998,1.10926
2020-01-10 17:05:00,1.11229,1.1123150000000002,1.1121699999999999,1.112185,1.1123150000000002,1.10926
2020-01-10 17:06:00,1.1121750000000001,1.1121750000000001,1.112055,1.11208,1.1123150000000002,1.10926
2020-01-10 17:07:00,1.11211,1.1121400000000001,1.112055,1.112095,1.1123150000000002,1.10926
2020-01-10 17:08:00,1.1121249999999998,1.112155,1.11208,1.1121249999999998,1.1123150000000002,1.10926
2020-01-10 17:09:00,1.112145,1.1121699999999999,1.112095,1.112155,1.1123150000000002,1.10926
2020-01-10 17:10:00,1.11226,1.11236,1.11215,1.11234,1.11236,1.10926
2020-01-10 17:11:00,1.1123500000000002,1.1123699999999999,1.112295,1.1123699999999999,1.1123699999999999,1.10926
2020-01-10 17:12:00,1.1124,1.11242,1.11229,1.11232,1.11242,1.10926
2020-01-10 17:13:00,1.1123500000000002,1.11238,1.112315,1.11235,1.11242,1.10926
2020-01-10 17:14:00,1.112395,1.112435,1.11231,1.1124,1.112435,1.10926
2020-01-10 17:15:00,1.11243,1.11246,1.112395,1.1124399999999999,1.11246,1.10926
2020-01-10 17:16:00,1.1125099999999999,1.112575,1.11242,1.1125349999999998,1.112575,1.10926
2020-01-10 17:17:00,1.11256,1.1125850000000002,1.1124800000000001,1.112485,1.1125850000000002,1.10926
2020-01-10 17:18:00,1.11256,1.1126399999999999,1.112485,1.112525,1.1126399999999999,1.10926
2020-01-10 17:19:00,1.11256,1.112595,1.112425,1.112575,1.1126399999999999,1.1093199999999999
2020-01-10 17:20:00,1.1126550000000002,1.1127449999999999,1.112565,1.1127449999999999,1.1127449999999999,1.1093199999999999
2020-01-10 17:21:00,1.11279,1.1128300000000002,1.11269,1.112795,1.1128300000000002,1.1093199999999999
2020-01-10 17:22:00,1.1128,1.11281,1.112685,1.112695,1.1128300000000002,1.1093199999999999
2020-01-10 17:23:00,1.1127600000000002,1.1128200000000001,1.1126550000000002,1.112765,1.1128300000000002,1.1093199999999999
2020-01-10 17:24:00,1.1127799999999999,1.1128,1.112665,1.112755,1.1128300000000002,1.109555
2020-01-10 17:25:00,1.112835,1.112905,1.112755,1.1128749999999998,1.112905,1.1096599999999999
2020-01-10 17:26:00,1.1128749999999998,1.1128749999999998,1.1128200000000001,1.112825,1.112905,1.1097700000000001
2020-01-10 17:27:00,1.112835,1.112835,1.11273,1.11273,1.112905,1.10983
2020-01-10 17:28:00,1.11274,1.1127449999999999,1.11265,1.1127,1.112905,1.10983
2020-01-10 17:29:00,1.11269,1.11269,1.112565,1.1125850000000002,1.112905,1.10983
2020-01-10 17:30:00,1.112625,1.11265,1.112565,1.112635,1.112905,1.10983
2020-01-10 17:31:00,1.112645,1.1126550000000002,1.112605,1.112615,1.112905,1.109885
2020-01-10 17:32:00,1.112615,1.112615,1.1125,1.112505,1.112905,1.109885
2020-01-10 17:33:00,1.1125150000000001,1.11254,1.1124649999999998,1.1125150000000001,1.112905,1.109885
2020-01-10 17:34:00,1.11253,1.11254,1.112495,1.1125349999999998,1.112905,1.109885
2020-01-10 17:35:00,1.11254,1.11254,1.1123599999999998,1.11238,1.112905,1.109995
2020-01-10 17:36:00,1.11239,1.11239,1.11231,1.11234,1.112905,1.110085
2020-01-10 17:37:00,1.11235,1.11235,1.112285,1.11229,1.112905,1.110225
2020-01-10 17:38:00,1.11234,1.112395,1.112285,1.11233,1.112905,1.110445
2020-01-10 17:39:00,1.112335,1.112345,1.11225,1.11225,1.112905,1.110445
2020-01-10 17:40:00,1.1122999999999998,1.112355,1.11225,1.112295,1.112905,1.110445
2020-01-10 17:41:00,1.11232,1.11234,1.11229,1.1122999999999998,1.112905,1.110445
2020-01-10 17:42:00,1.112305,1.1123150000000002,1.112215,1.1122450000000002,1.112905,1.110445
2020-01-10 17:43:00,1.112255,1.11227,1.112225,1.112225,1.112905,1.110445
2020-01-10 17:44:00,1.11223,1.11223,1.112145,1.1122100000000001,1.112905,1.110445
2020-01-10 17:45:00,1.1122100000000001,1.112215,1.11216,1.11216,1.112905,1.110445
2020-01-10 17:46:00,1.11216,1.112165,1.11206,1.1121349999999999,1.112905,1.110445
2020-01-10 17:47:00,1.1121699999999999,1.1122,1.11208,1.112085,1.112905,1.110465
2020-01-10 17:48:00,1.11213,1.11219,1.112065,1.11219,1.112905,1.1107399999999998
2020-01-10 17:49:00,1.1121949999999998,1.1121949999999998,1.112095,1.1120999999999999,1.112905,1.1107399999999998
2020-01-10 17:50:00,1.11215,1.1121949999999998,1.11211,1.112165,1.112905,1.110765
2020-01-10 17:51:00,1.1121699999999999,1.11218,1.112085,1.11211,1.112905,1.110765
2020-01-10 17:52:00,1.11213,1.11216,1.1120999999999999,1.112145,1.112905,1.110765
2020-01-10 17:53:00,1.112165,1.112165,1.1120999999999999,1.1120999999999999,1.112905,1.110765
2020-01-10 17:54:00,1.1120999999999999,1.1121050000000001,1.112055,1.11206,1.112905,1.110765
2020-01-10 17:55:00,1.1121400000000001,1.112215,1.112055,1.1122100000000001,1.112905,1.110765
2020-01-10 17:56:00,1.11224,1.112275,1.11206,1.11211,1.112905,1.110765
2020-01-10 17:57:00,1.112155,1.1121949999999998,1.11212,1.1121949999999998,1.112905,1.110765
2020-01-10 17:58:00,1.1122299999999998,1.1122649999999998,1.1121949999999998,1.112255,1.112905,1.110765
2020-01-10 17:59:00,1.11227,1.1122800000000002,1.112215,1.11223,1.112905,1.110765
2020-01-10 18:00:00,1.11227,1.112305,1.1121349999999999,1.112305,1.112905,1.110765
2020-01-10 18:01:00,1.112315,1.11233,1.11227,1.11232,1.112905,1.110765
2020-01-10 18:02:00,1.11233,1.112335,1.112215,1.112215,1.112905,1.110765
2020-01-10 18:03:00,1.11224,1.11226,1.112155,1.112155,1.112905,1.110765
2020-01-10 18:04:00,1.112155,1.112155,1.111955,1.111955,1.112905,1.110765
2020-01-10 18:05:00,1.1119750000000002,1.11199,1.111955,1.11199,1.112905,1.11087
2020-01-10 18:06:00,1.112005,1.112015,1.1119400000000002,1.112005,1.112905,1.1109200000000001
2020-01-10 18:07:00,1.112005,1.112005,1.1119949999999998,1.112,1.112905,1.111005
2020-01-10 18:08:00,1.11202,1.1120450000000002,1.112,1.11204,1.112905,1.11111
2020-01-10 18:09:00,1.1120700000000001,1.11209,1.11201,1.112015,1.112905,1.11111
2020-01-10 18:10:00,1.11206,1.11211,1.112015,1.112095,1.112905,1.11111
2020-01-10 18:11:00,1.11211,1.112115,1.1120299999999999,1.112045,1.112905,1.11111
2020-01-10 18:12:00,1.11208,1.11212,1.112045,1.112095,1.112905,1.11111
2020-01-10 18:13:00,1.1120999999999999,1.1120999999999999,1.112085,1.112095,1.112905,1.11111
2020-01-10 18:14:00,1.1121249999999998,1.11215,1.11201,1.11215,1.112905,1.11111
2020-01-10 18:15:00,1.112155,1.112155,1.1120450000000002,1.112095,1.112905,1.11111
2020-01-10 18:16:00,1.11211,1.112115,1.112055,1.11206,1.112905,1.11111
2020-01-10 18:17:00,1.112055,1.112055,1.1119949999999998,1.112,1.112905,1.11111
2020-01-10 18:18:00,1.112005,1.112005,1.11195,1.111965,1.112905,1.11111
2020-01-10 18:19:00,1.1119750000000002,1.11199,1.111945,1.11195,1.112905,1.11111
2020-01-10 18:20:00,1.11197,1.112,1.1119249999999998,1.111965,1.112905,1.11111
2020-01-10 18:21:00,1.11198,1.11198,1.11195,1.111955,1.112905,1.11111
2020-01-10 18:22:00,1.111985,1.11201,1.11193,1.112,1.112905,1.11111
2020-01-10 18:23:00,1.1120299999999999,1.112055,1.1119949999999998,1.112055,1.112905,1.11111
2020-01-10 18:24:00,1.112065,1.112065,1.11204,1.112065,1.112905,1.11111
2020-01-10 18:25:00,1.112075,1.112095,1.11206,1.11209,1.112905,1.11111
2020-01-10 18:26:00,1.11209,1.112095,1.112055,1.11209,1.112905,1.11111
2020-01-10 18:27:00,1.112085,1.112085,1.112025,1.11204,1.112905,1.11111
2020-01-10 18:28:00,1.1120700000000001,1.11209,1.11204,1.112055,1.112905,1.11111
2020-01-10 18:29:00,1.112075,1.112095,1.11205,1.11205,1.112905,1.11111
2020-01-10 18:30:00,1.112085,1.11211,1.11205,1.11211,1.112905,1.11111
2020-01-10 18:31:00,1.11213,1.11214,1.112055,1.112085,1.112905,1.11111
2020-01-10 18:32:00,1.112085,1.112085,1.11198,1.112,1.112905,1.11111
2020-01-10 18:33:00,1.112,1.112,1.11199,1.1119949999999998,1.112905,1.11111
2020-01-10 18:34:00,1.1119949999999998,1.1119949999999998,1.1119400000000002,1.11195,1.112905,1.11111
2020-01-10 18:35:00,1.11197,1.11199,1.111945,1.111945,1.112905,1.11111
2020-01-10 18:36:00,1.1119750000000002,1.112,1.111945,1.112,1.112905,1.11111
2020-01-10 18:37:00,1.112005,1.112005,1.11195,1.11195,1.112905,1.11111
